Metric,Value
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.5260715345580796
timing__hold__ws__corner:max_tt_025C_1v80,1.9274575814301427
timing__setup__ws__corner:max_tt_025C_1v80,3.3688293108656753
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,Infinity
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,6.159178
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,9
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,1368
design__max_fanout_violation__count__corner:max_ss_100C_1v60,32
design__max_cap_violation__count__corner:max_ss_100C_1v60,697
clock__skew__worst_hold__corner:max_ss_100C_1v60,0.26586392173637996
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.7658639494919564
timing__hold__ws__corner:max_ss_100C_1v60,1.0087961862505759
timing__setup__ws__corner:max_ss_100C_1v60,1.9241835336379267
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,Infinity
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,4.451007
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,9
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,607
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,32
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.11205622857894003
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4495864086049392
timing__hold__ws__corner:max_ff_n40C_1v95,2.3123308367007325
timing__setup__ws__corner:max_ff_n40C_1v95,3.8590962628892735
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,6.836331
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,9
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,9
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.7995
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79988
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000499613
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000506152
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000120218
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000506152
design_powergrid__voltage__worst,0.000506152
design_powergrid__voltage__worst__net:VPWR,1.7995
design_powergrid__drop__worst,0.000506152
design_powergrid__drop__worst__net:VPWR,0.000499613
design_powergrid__voltage__worst__net:VGND,0.000506152
design_powergrid__drop__worst__net:VGND,0.000506152
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00012400000000000000540019418071580048490432091057300567626953125
ir__drop__worst,0.0005000000000000000104083408558608425664715468883514404296875
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
